,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,AgeBin
862,Bachelors,2018,Bangalore,3,24,Male,No,2,1,"(20, 25]"
863,Bachelors,2013,Pune,3,26,Male,No,4,0,"(25, 30]"
864,Bachelors,2012,Bangalore,3,28,Female,No,2,0,"(25, 30]"
865,Masters,2017,Pune,2,26,Male,No,4,0,"(25, 30]"
866,Masters,2017,New Delhi,2,25,Male,No,3,1,"(20, 25]"
867,Bachelors,2016,New Delhi,3,27,Female,No,5,0,"(25, 30]"
868,Bachelors,2012,Bangalore,3,26,Male,No,4,0,"(25, 30]"
869,Bachelors,2015,Pune,3,25,Male,No,3,0,"(20, 25]"
870,Bachelors,2012,New Delhi,3,26,Female,Yes,4,0,"(25, 30]"
871,Masters,2014,Bangalore,3,27,Male,No,5,1,"(25, 30]"
872,Masters,2017,New Delhi,2,26,Male,No,4,0,"(25, 30]"
873,Masters,2012,New Delhi,3,26,Male,No,4,1,"(25, 30]"
874,Bachelors,2015,Pune,2,26,Female,No,4,1,"(25, 30]"
875,Masters,2014,New Delhi,3,25,Male,No,3,0,"(20, 25]"
876,Bachelors,2015,Bangalore,3,28,Male,Yes,2,0,"(25, 30]"
877,Masters,2012,Pune,3,27,Male,No,5,1,"(25, 30]"
878,Bachelors,2017,Bangalore,2,27,Male,No,5,0,"(25, 30]"
879,Bachelors,2016,Bangalore,3,24,Male,No,2,0,"(20, 25]"
880,Bachelors,2017,Bangalore,3,27,Male,No,5,0,"(25, 30]"
881,Bachelors,2014,Bangalore,3,26,Male,No,4,1,"(25, 30]"
882,Bachelors,2017,Bangalore,3,24,Female,No,2,0,"(20, 25]"
883,Bachelors,2017,Bangalore,3,28,Male,No,1,0,"(25, 30]"
884,Bachelors,2014,Bangalore,3,26,Male,No,4,1,"(25, 30]"
885,Bachelors,2018,Bangalore,3,28,Female,No,3,1,"(25, 30]"
886,Bachelors,2014,New Delhi,3,24,Female,No,2,0,"(20, 25]"
887,Bachelors,2017,Bangalore,1,27,Male,No,5,0,"(25, 30]"
888,Bachelors,2015,New Delhi,3,24,Female,No,2,0,"(20, 25]"
889,Bachelors,2017,Bangalore,3,27,Male,No,5,0,"(25, 30]"
890,Bachelors,2017,Pune,3,28,Male,No,3,0,"(25, 30]"
891,Bachelors,2014,Bangalore,3,25,Male,No,3,0,"(20, 25]"
892,Bachelors,2017,Bangalore,3,25,Female,No,3,0,"(20, 25]"
893,Bachelors,2018,Bangalore,3,25,Male,No,3,1,"(20, 25]"
894,Bachelors,2013,Bangalore,3,28,Female,No,3,0,"(25, 30]"
895,Bachelors,2017,New Delhi,3,27,Male,No,5,0,"(25, 30]"
896,Bachelors,2013,Bangalore,3,27,Male,No,5,0,"(25, 30]"
897,Masters,2017,New Delhi,2,26,Female,No,4,1,"(25, 30]"
898,Bachelors,2014,Bangalore,3,24,Male,No,2,0,"(20, 25]"
899,Bachelors,2017,Pune,3,27,Male,No,5,0,"(25, 30]"
900,Bachelors,2012,Pune,3,27,Male,No,5,0,"(25, 30]"
901,Bachelors,2017,Pune,3,24,Male,No,2,0,"(20, 25]"
902,Bachelors,2014,Bangalore,3,25,Male,No,3,0,"(20, 25]"
903,Bachelors,2014,Bangalore,3,28,Male,No,3,0,"(25, 30]"
904,Bachelors,2018,Bangalore,3,26,Male,No,4,1,"(25, 30]"
905,Masters,2017,Bangalore,3,28,Male,No,1,1,"(25, 30]"
906,Bachelors,2018,Bangalore,3,27,Male,Yes,5,1,"(25, 30]"
907,Bachelors,2017,Bangalore,3,28,Male,Yes,1,0,"(25, 30]"
908,Bachelors,2016,Bangalore,3,25,Male,No,3,0,"(20, 25]"
909,Bachelors,2013,Pune,3,24,Female,No,2,0,"(20, 25]"
910,Bachelors,2018,New Delhi,3,25,Female,No,3,1,"(20, 25]"
911,Bachelors,2014,Bangalore,3,24,Female,No,2,0,"(20, 25]"
912,Bachelors,2012,Bangalore,3,26,Male,No,4,0,"(25, 30]"
913,Masters,2013,New Delhi,1,24,Female,No,2,0,"(20, 25]"
914,Masters,2013,New Delhi,1,24,Male,Yes,2,1,"(20, 25]"
915,Bachelors,2014,Bangalore,3,26,Male,No,4,0,"(25, 30]"
916,Bachelors,2017,Bangalore,3,27,Male,No,5,0,"(25, 30]"
917,Bachelors,2017,New Delhi,2,25,Male,No,3,0,"(20, 25]"
918,Bachelors,2015,Bangalore,3,28,Female,No,1,0,"(25, 30]"
919,Bachelors,2014,Bangalore,3,24,Male,No,2,0,"(20, 25]"
920,PHD,2018,New Delhi,3,24,Female,No,2,1,"(20, 25]"
921,Bachelors,2015,Pune,3,28,Male,No,1,0,"(25, 30]"
922,Bachelors,2015,Bangalore,3,26,Male,No,4,0,"(25, 30]"
923,PHD,2015,Pune,2,28,Female,No,1,0,"(25, 30]"
924,Bachelors,2018,Bangalore,3,25,Male,Yes,3,1,"(20, 25]"
925,Bachelors,2016,Bangalore,3,26,Male,No,4,0,"(25, 30]"
926,Bachelors,2015,Bangalore,3,27,Female,No,5,1,"(25, 30]"
927,Bachelors,2017,Pune,3,24,Male,No,2,0,"(20, 25]"
928,Bachelors,2014,Bangalore,3,27,Male,No,5,0,"(25, 30]"
929,Masters,2012,New Delhi,3,28,Male,No,2,0,"(25, 30]"
930,Bachelors,2012,Bangalore,3,28,Male,No,3,0,"(25, 30]"
931,Bachelors,2012,Pune,2,27,Female,No,5,1,"(25, 30]"
932,Bachelors,2012,New Delhi,2,27,Female,No,5,1,"(25, 30]"
933,Masters,2012,Bangalore,3,27,Male,No,5,1,"(25, 30]"
934,Bachelors,2018,Bangalore,3,25,Female,No,3,1,"(20, 25]"
935,Masters,2018,Pune,3,27,Male,No,5,1,"(25, 30]"
936,Masters,2017,New Delhi,2,28,Male,No,2,0,"(25, 30]"
937,Bachelors,2013,Bangalore,3,27,Male,No,5,0,"(25, 30]"
938,Masters,2017,Bangalore,2,28,Male,Yes,2,1,"(25, 30]"
939,Bachelors,2017,Pune,3,27,Male,No,5,0,"(25, 30]"
940,Bachelors,2017,Pune,3,28,Female,No,1,0,"(25, 30]"
941,Bachelors,2016,Bangalore,3,28,Male,No,3,0,"(25, 30]"
942,Bachelors,2014,New Delhi,3,26,Female,No,4,0,"(25, 30]"
943,Bachelors,2018,Bangalore,3,25,Male,No,3,1,"(20, 25]"
944,Bachelors,2017,New Delhi,3,26,Female,No,4,0,"(25, 30]"
945,Bachelors,2015,Pune,2,26,Female,No,4,1,"(25, 30]"
946,Bachelors,2017,New Delhi,3,26,Male,No,4,0,"(25, 30]"
947,Bachelors,2012,Bangalore,3,25,Female,Yes,3,0,"(20, 25]"
948,Bachelors,2017,Bangalore,3,25,Male,Yes,3,0,"(20, 25]"
949,Bachelors,2013,Bangalore,3,28,Female,No,1,1,"(25, 30]"
950,Bachelors,2013,Pune,3,24,Female,No,2,1,"(20, 25]"
951,Bachelors,2014,Bangalore,3,25,Male,No,3,0,"(20, 25]"
952,Masters,2017,New Delhi,3,25,Male,No,3,1,"(20, 25]"
953,Bachelors,2015,Pune,2,27,Female,No,5,1,"(25, 30]"
954,Masters,2017,Pune,2,28,Male,No,3,0,"(25, 30]"
955,Masters,2017,New Delhi,3,26,Male,No,4,0,"(25, 30]"
956,Masters,2017,Pune,2,24,Female,No,2,0,"(20, 25]"
957,Masters,2015,Pune,1,26,Female,No,4,0,"(25, 30]"
958,Masters,2013,Pune,3,26,Male,No,4,0,"(25, 30]"
959,Bachelors,2015,Bangalore,3,26,Male,No,4,0,"(25, 30]"
960,Bachelors,2017,Pune,3,24,Male,No,2,0,"(20, 25]"
961,PHD,2016,Bangalore,3,27,Male,No,5,0,"(25, 30]"
962,Bachelors,2018,Bangalore,3,24,Male,No,2,1,"(20, 25]"
963,Bachelors,2014,Pune,3,25,Male,No,3,0,"(20, 25]"
964,Bachelors,2012,Bangalore,3,26,Male,No,4,0,"(25, 30]"
965,Bachelors,2017,Bangalore,3,28,Male,No,3,0,"(25, 30]"
966,Bachelors,2014,Pune,3,25,Male,No,3,0,"(20, 25]"
967,Masters,2018,New Delhi,3,25,Female,No,3,1,"(20, 25]"
968,Bachelors,2013,Pune,2,25,Female,No,3,1,"(20, 25]"
969,PHD,2013,New Delhi,3,26,Male,No,4,0,"(25, 30]"
970,Bachelors,2015,New Delhi,3,28,Female,No,3,0,"(25, 30]"
971,Bachelors,2017,Bangalore,3,24,Male,No,2,0,"(20, 25]"
972,Masters,2018,New Delhi,1,26,Female,No,4,1,"(25, 30]"
973,Bachelors,2013,Pune,2,24,Female,No,2,1,"(20, 25]"
974,Bachelors,2018,Bangalore,3,24,Male,No,2,1,"(20, 25]"
975,PHD,2016,Pune,1,25,Female,No,3,1,"(20, 25]"
976,Bachelors,2014,Pune,3,26,Male,No,4,1,"(25, 30]"
977,Masters,2015,Pune,1,27,Female,No,5,0,"(25, 30]"
978,Bachelors,2013,Pune,3,28,Female,No,2,1,"(25, 30]"
979,Bachelors,2016,Bangalore,1,27,Female,No,5,0,"(25, 30]"
980,Bachelors,2014,New Delhi,3,24,Male,No,2,0,"(20, 25]"
981,Bachelors,2016,Bangalore,3,26,Male,Yes,4,0,"(25, 30]"
982,Bachelors,2015,Pune,3,25,Female,No,3,1,"(20, 25]"
983,Bachelors,2013,Bangalore,3,24,Male,No,2,0,"(20, 25]"
984,Bachelors,2015,Bangalore,3,25,Female,No,3,0,"(20, 25]"
985,Bachelors,2015,Bangalore,3,26,Male,No,4,0,"(25, 30]"
986,Bachelors,2016,Bangalore,3,26,Male,No,4,0,"(25, 30]"
987,Bachelors,2013,Pune,3,26,Male,No,4,0,"(25, 30]"
988,Masters,2016,Bangalore,3,26,Female,No,4,1,"(25, 30]"
989,Bachelors,2018,Bangalore,3,27,Female,No,5,1,"(25, 30]"
990,Bachelors,2017,Bangalore,3,24,Female,No,2,0,"(20, 25]"
991,Bachelors,2014,New Delhi,3,24,Female,No,2,0,"(20, 25]"
992,Bachelors,2013,Pune,3,26,Male,Yes,4,0,"(25, 30]"
993,Bachelors,2014,Bangalore,3,26,Male,No,4,0,"(25, 30]"
994,Bachelors,2014,Bangalore,3,24,Male,No,2,0,"(20, 25]"
995,Bachelors,2012,Bangalore,3,26,Male,No,4,0,"(25, 30]"
996,Bachelors,2014,Pune,2,26,Female,No,4,1,"(25, 30]"
997,Bachelors,2016,New Delhi,3,28,Female,No,5,0,"(25, 30]"
998,Bachelors,2015,Bangalore,3,28,Male,No,5,0,"(25, 30]"
999,Bachelors,2012,Pune,2,26,Female,No,4,1,"(25, 30]"
1000,Bachelors,2013,New Delhi,3,26,Female,No,4,0,"(25, 30]"
1001,Bachelors,2013,Pune,3,24,Male,No,2,0,"(20, 25]"
1002,Masters,2017,New Delhi,3,28,Female,No,3,0,"(25, 30]"
1003,Bachelors,2012,New Delhi,3,27,Female,No,5,0,"(25, 30]"
1004,Bachelors,2017,Bangalore,3,25,Male,No,3,0,"(20, 25]"
1005,Bachelors,2012,New Delhi,3,24,Female,No,2,1,"(20, 25]"
1006,Masters,2015,Pune,1,24,Male,No,2,0,"(20, 25]"
1007,Masters,2013,New Delhi,3,27,Male,No,5,1,"(25, 30]"
1008,Bachelors,2017,New Delhi,3,24,Female,No,2,1,"(20, 25]"
1009,Bachelors,2014,Bangalore,3,28,Male,No,1,1,"(25, 30]"
1010,Bachelors,2015,Bangalore,3,28,Female,No,1,0,"(25, 30]"
1011,Masters,2013,New Delhi,3,27,Male,No,5,0,"(25, 30]"
1012,Bachelors,2014,Bangalore,3,26,Male,No,4,0,"(25, 30]"
1013,Bachelors,2017,Bangalore,3,25,Male,No,3,0,"(20, 25]"
1014,Masters,2015,New Delhi,3,24,Male,No,2,1,"(20, 25]"
1015,Bachelors,2014,Bangalore,3,25,Male,No,3,0,"(20, 25]"
1016,Bachelors,2014,Bangalore,3,25,Female,No,3,0,"(20, 25]"
1017,Bachelors,2017,Bangalore,1,24,Male,No,2,0,"(20, 25]"
1018,Bachelors,2014,New Delhi,3,27,Female,No,5,1,"(25, 30]"
1019,Bachelors,2013,Bangalore,3,27,Female,No,5,0,"(25, 30]"
1020,Bachelors,2012,Bangalore,3,28,Female,No,2,0,"(25, 30]"
1021,Bachelors,2015,Bangalore,3,27,Male,No,5,0,"(25, 30]"
1022,Bachelors,2012,Bangalore,3,26,Male,No,4,0,"(25, 30]"
1023,Bachelors,2013,Pune,1,27,Female,No,5,1,"(25, 30]"
1024,Bachelors,2014,New Delhi,3,27,Female,Yes,5,0,"(25, 30]"
1025,Bachelors,2014,Bangalore,3,28,Male,No,4,0,"(25, 30]"
1026,Bachelors,2014,Bangalore,3,27,Male,No,5,1,"(25, 30]"
1027,Bachelors,2014,Bangalore,3,28,Female,No,1,0,"(25, 30]"
1028,Masters,2018,New Delhi,3,25,Female,No,3,1,"(20, 25]"
1029,Bachelors,2017,Bangalore,3,27,Male,No,5,0,"(25, 30]"
1030,Bachelors,2015,Bangalore,3,24,Male,Yes,2,1,"(20, 25]"
1031,Masters,2017,Pune,2,25,Female,No,3,1,"(20, 25]"
1032,Bachelors,2017,New Delhi,2,27,Female,No,5,0,"(25, 30]"
1033,Bachelors,2016,Bangalore,3,28,Male,No,3,1,"(25, 30]"
1034,Bachelors,2015,Pune,2,25,Female,Yes,3,1,"(20, 25]"
1035,Masters,2017,New Delhi,3,24,Male,No,2,0,"(20, 25]"
1036,Bachelors,2015,Bangalore,3,28,Male,No,4,0,"(25, 30]"
1037,Masters,2014,Pune,3,26,Male,No,4,1,"(25, 30]"
1038,Bachelors,2013,Pune,3,26,Male,No,4,0,"(25, 30]"
1039,Bachelors,2016,Bangalore,3,26,Male,No,4,0,"(25, 30]"
1040,Bachelors,2013,Bangalore,3,26,Male,No,4,0,"(25, 30]"
1041,Masters,2013,New Delhi,1,24,Female,No,2,1,"(20, 25]"
1042,Bachelors,2014,Bangalore,3,25,Male,No,3,0,"(20, 25]"
1043,Bachelors,2018,Bangalore,3,27,Male,No,5,1,"(25, 30]"
1044,Bachelors,2013,Bangalore,3,28,Male,No,1,0,"(25, 30]"
1045,Bachelors,2016,Pune,2,28,Female,No,4,1,"(25, 30]"
1046,Bachelors,2012,Bangalore,3,28,Male,No,1,0,"(25, 30]"
1047,Bachelors,2017,New Delhi,3,25,Female,No,3,0,"(20, 25]"
1048,Bachelors,2018,Bangalore,3,25,Male,Yes,3,1,"(20, 25]"
1049,Bachelors,2012,Pune,1,27,Female,No,5,1,"(25, 30]"
1050,Masters,2017,New Delhi,3,24,Male,No,2,0,"(20, 25]"
1051,Bachelors,2014,Bangalore,3,24,Male,No,2,0,"(20, 25]"
1052,Bachelors,2014,Pune,3,26,Male,No,4,0,"(25, 30]"
1053,Bachelors,2013,Bangalore,3,25,Female,No,3,1,"(20, 25]"
1054,Bachelors,2017,Bangalore,3,28,Male,No,2,0,"(25, 30]"
1055,Bachelors,2015,Pune,3,25,Female,No,3,1,"(20, 25]"
1056,Bachelors,2017,Bangalore,3,24,Male,No,2,0,"(20, 25]"
1057,Bachelors,2018,Bangalore,3,24,Male,Yes,2,1,"(20, 25]"
1058,Bachelors,2016,Bangalore,3,28,Male,Yes,4,0,"(25, 30]"
1059,Bachelors,2014,Bangalore,3,26,Female,No,4,0,"(25, 30]"
1060,Bachelors,2017,Bangalore,3,28,Male,No,1,0,"(25, 30]"
1061,Bachelors,2012,Bangalore,3,27,Male,No,5,0,"(25, 30]"
1062,Bachelors,2016,New Delhi,3,26,Male,No,4,0,"(25, 30]"
1063,Bachelors,2014,Bangalore,3,27,Female,No,5,0,"(25, 30]"
1064,Bachelors,2014,Bangalore,3,27,Female,Yes,5,1,"(25, 30]"
1065,Bachelors,2013,Bangalore,3,26,Male,No,4,0,"(25, 30]"
1066,PHD,2015,New Delhi,2,24,Female,No,2,0,"(20, 25]"
1067,Bachelors,2018,Bangalore,3,26,Male,No,4,1,"(25, 30]"
1068,Bachelors,2017,New Delhi,2,24,Female,No,2,0,"(20, 25]"
1069,PHD,2015,Pune,1,25,Female,No,3,1,"(20, 25]"
1070,Bachelors,2017,New Delhi,3,24,Male,No,2,0,"(20, 25]"
1071,Bachelors,2013,Bangalore,3,25,Female,No,3,0,"(20, 25]"
1072,Bachelors,2014,Bangalore,3,24,Male,Yes,2,0,"(20, 25]"
1073,Masters,2018,New Delhi,3,26,Male,Yes,4,1,"(25, 30]"
1074,Bachelors,2015,Bangalore,2,25,Female,No,3,1,"(20, 25]"
1075,Bachelors,2012,Bangalore,3,25,Male,No,3,0,"(20, 25]"
1076,Masters,2012,New Delhi,3,28,Male,Yes,2,0,"(25, 30]"
1077,Bachelors,2015,Bangalore,3,24,Female,No,2,0,"(20, 25]"
1078,Bachelors,2012,Bangalore,3,24,Male,No,2,0,"(20, 25]"
1079,PHD,2018,New Delhi,3,27,Female,No,5,1,"(25, 30]"
1080,Bachelors,2014,Bangalore,3,25,Male,No,3,0,"(20, 25]"
1081,Bachelors,2012,Bangalore,3,25,Male,No,3,0,"(20, 25]"
1082,Bachelors,2012,Bangalore,3,28,Male,No,5,0,"(25, 30]"
1083,Bachelors,2017,New Delhi,2,26,Female,No,4,0,"(25, 30]"
1084,Bachelors,2013,Bangalore,3,25,Male,No,3,0,"(20, 25]"
1085,Masters,2018,Pune,3,24,Male,No,2,1,"(20, 25]"
1086,Bachelors,2016,Bangalore,3,26,Male,No,4,0,"(25, 30]"
1087,Bachelors,2013,Bangalore,3,26,Male,No,4,0,"(25, 30]"
1088,Bachelors,2016,New Delhi,3,28,Female,No,2,0,"(25, 30]"
1089,Masters,2017,New Delhi,2,27,Male,Yes,5,1,"(25, 30]"
1090,Bachelors,2018,Pune,2,27,Female,No,5,1,"(25, 30]"
1091,Masters,2014,New Delhi,3,28,Female,No,4,0,"(25, 30]"
1092,Masters,2017,New Delhi,3,25,Female,No,3,0,"(20, 25]"
1093,Masters,2017,Bangalore,3,26,Female,No,4,0,"(25, 30]"
1094,Bachelors,2015,Pune,2,27,Female,No,5,1,"(25, 30]"
1095,Bachelors,2013,New Delhi,3,27,Female,No,5,0,"(25, 30]"
1096,Masters,2017,New Delhi,1,26,Female,No,4,0,"(25, 30]"
1097,Bachelors,2013,New Delhi,3,27,Female,No,5,0,"(25, 30]"
1098,Bachelors,2012,New Delhi,3,28,Male,No,3,0,"(25, 30]"
1099,Masters,2017,Pune,2,27,Male,No,5,1,"(25, 30]"
1100,Bachelors,2017,New Delhi,3,26,Female,No,4,0,"(25, 30]"
1101,Bachelors,2013,Bangalore,3,28,Female,No,4,1,"(25, 30]"
1102,Masters,2012,New Delhi,3,27,Male,Yes,5,1,"(25, 30]"
1103,Bachelors,2017,Pune,2,24,Male,No,2,0,"(20, 25]"
1104,Masters,2017,New Delhi,3,25,Female,No,3,1,"(20, 25]"
1105,Bachelors,2018,Bangalore,3,25,Female,Yes,3,1,"(20, 25]"
1106,Bachelors,2016,Bangalore,3,28,Male,Yes,4,0,"(25, 30]"
1107,Masters,2017,New Delhi,3,28,Male,No,2,0,"(25, 30]"
1108,Bachelors,2014,Bangalore,3,24,Male,No,2,0,"(20, 25]"
1109,Bachelors,2016,Bangalore,3,26,Male,Yes,4,0,"(25, 30]"
1110,Bachelors,2014,Pune,3,24,Female,No,2,1,"(20, 25]"
1111,Bachelors,2013,Pune,3,26,Male,No,4,0,"(25, 30]"
1112,Bachelors,2012,Bangalore,3,27,Male,No,5,0,"(25, 30]"
1113,Bachelors,2018,Bangalore,3,24,Male,No,2,1,"(20, 25]"
1114,Bachelors,2017,Bangalore,1,26,Female,No,4,0,"(25, 30]"
1115,Bachelors,2015,Bangalore,3,28,Female,No,3,0,"(25, 30]"
1116,Bachelors,2013,Bangalore,3,28,Male,No,3,1,"(25, 30]"
1117,Bachelors,2012,Bangalore,3,27,Male,Yes,5,0,"(25, 30]"
1118,Bachelors,2013,Bangalore,3,26,Female,No,4,0,"(25, 30]"
1119,Masters,2013,New Delhi,2,27,Female,No,5,1,"(25, 30]"
1120,Bachelors,2016,New Delhi,3,24,Female,No,2,0,"(20, 25]"
1121,Bachelors,2015,Pune,2,28,Female,No,2,1,"(25, 30]"
1122,Bachelors,2015,New Delhi,2,25,Female,No,3,1,"(20, 25]"
1123,Bachelors,2014,Pune,3,24,Male,No,2,0,"(20, 25]"
1124,Bachelors,2017,New Delhi,3,27,Female,No,5,0,"(25, 30]"
1125,Bachelors,2012,New Delhi,3,26,Male,No,4,0,"(25, 30]"
1126,Bachelors,2013,Bangalore,3,28,Male,No,0,0,"(25, 30]"
1127,Bachelors,2012,Pune,3,28,Male,No,5,0,"(25, 30]"
1128,Bachelors,2015,Pune,2,26,Female,No,4,1,"(25, 30]"
1129,Bachelors,2016,Bangalore,1,26,Male,No,4,0,"(25, 30]"
1130,Masters,2017,New Delhi,2,28,Female,Yes,2,1,"(25, 30]"
1131,Masters,2017,New Delhi,2,25,Male,No,3,1,"(20, 25]"
1132,Bachelors,2017,Bangalore,3,24,Male,No,2,0,"(20, 25]"
1133,Bachelors,2013,Bangalore,3,28,Male,No,0,0,"(25, 30]"
1134,Bachelors,2014,Pune,3,27,Male,No,5,1,"(25, 30]"
1135,Bachelors,2016,Pune,2,26,Female,No,4,1,"(25, 30]"
1136,Bachelors,2018,Bangalore,3,27,Female,Yes,5,1,"(25, 30]"
1137,Bachelors,2012,Pune,3,28,Male,No,4,0,"(25, 30]"
1138,Bachelors,2013,Pune,2,26,Female,No,4,1,"(25, 30]"
1139,Bachelors,2014,Bangalore,3,28,Female,No,3,0,"(25, 30]"
1140,Masters,2017,New Delhi,2,28,Female,No,2,0,"(25, 30]"
1141,Bachelors,2012,New Delhi,1,27,Female,No,5,0,"(25, 30]"
1142,Bachelors,2017,New Delhi,2,27,Male,No,5,0,"(25, 30]"
1143,Bachelors,2014,Bangalore,3,24,Male,No,2,0,"(20, 25]"
1144,Bachelors,2013,Pune,3,27,Male,No,5,0,"(25, 30]"
1145,Bachelors,2015,Bangalore,3,27,Female,No,5,0,"(25, 30]"
1146,Bachelors,2017,Bangalore,3,27,Male,No,5,0,"(25, 30]"
1147,Masters,2012,New Delhi,3,24,Male,No,2,0,"(20, 25]"
1148,Bachelors,2013,New Delhi,2,25,Female,No,3,1,"(20, 25]"
1149,Bachelors,2017,Bangalore,3,25,Male,No,3,0,"(20, 25]"
1150,Bachelors,2018,Bangalore,3,25,Male,No,3,1,"(20, 25]"
1151,Masters,2013,Pune,3,25,Male,Yes,3,1,"(20, 25]"
1152,Bachelors,2013,Pune,3,24,Female,No,2,0,"(20, 25]"
1153,Bachelors,2015,Pune,3,24,Female,No,2,1,"(20, 25]"
1154,Bachelors,2014,Bangalore,3,24,Male,No,2,0,"(20, 25]"
1155,Masters,2012,New Delhi,3,26,Female,No,4,1,"(25, 30]"
1156,Bachelors,2015,Pune,3,25,Male,No,3,0,"(20, 25]"
1157,Bachelors,2017,New Delhi,2,26,Female,No,4,0,"(25, 30]"
1158,Bachelors,2013,Bangalore,3,28,Male,No,3,0,"(25, 30]"
1159,Bachelors,2016,Pune,2,28,Female,No,0,1,"(25, 30]"
1160,Bachelors,2012,New Delhi,3,24,Male,No,2,0,"(20, 25]"
1161,Bachelors,2015,New Delhi,3,28,Male,No,1,0,"(25, 30]"
1162,Bachelors,2017,Bangalore,1,24,Male,No,2,0,"(20, 25]"
1163,Masters,2017,Pune,2,28,Female,No,4,0,"(25, 30]"
1164,Bachelors,2017,Pune,3,24,Male,No,2,0,"(20, 25]"
1165,Bachelors,2016,Bangalore,3,27,Female,No,5,0,"(25, 30]"
1166,Bachelors,2015,Pune,3,28,Male,No,2,0,"(25, 30]"
1167,Bachelors,2016,Bangalore,3,28,Female,No,5,0,"(25, 30]"
1168,Bachelors,2018,Bangalore,3,25,Male,No,3,1,"(20, 25]"
1169,Bachelors,2015,Bangalore,3,28,Female,No,5,0,"(25, 30]"
1170,Bachelors,2014,Bangalore,3,27,Male,No,5,1,"(25, 30]"
1171,Bachelors,2013,Bangalore,3,26,Male,No,4,0,"(25, 30]"
1172,Bachelors,2015,Bangalore,1,24,Male,No,2,0,"(20, 25]"
1173,Bachelors,2012,Bangalore,3,27,Female,No,5,0,"(25, 30]"
1174,Bachelors,2012,Bangalore,3,25,Male,No,3,1,"(20, 25]"
1175,Bachelors,2015,Pune,3,28,Female,No,4,1,"(25, 30]"
1176,Masters,2017,Bangalore,2,24,Female,Yes,2,1,"(20, 25]"
1177,Bachelors,2014,Bangalore,3,28,Male,No,2,0,"(25, 30]"
1178,Masters,2017,Pune,2,24,Female,No,2,1,"(20, 25]"
1179,Bachelors,2014,New Delhi,3,26,Female,No,4,1,"(25, 30]"
1180,Bachelors,2015,Pune,2,28,Female,No,3,1,"(25, 30]"
1181,Masters,2013,Pune,2,28,Male,No,5,1,"(25, 30]"
1182,Bachelors,2013,New Delhi,1,28,Female,No,5,1,"(25, 30]"
1183,Bachelors,2015,Pune,2,26,Female,Yes,4,1,"(25, 30]"
1184,Masters,2015,New Delhi,3,28,Male,No,2,0,"(25, 30]"
1185,Bachelors,2013,Bangalore,3,27,Male,No,5,0,"(25, 30]"
1186,Bachelors,2018,Bangalore,3,28,Male,No,2,1,"(25, 30]"
1187,Bachelors,2012,Pune,3,28,Male,No,2,0,"(25, 30]"
1188,Bachelors,2014,Pune,3,27,Female,No,5,1,"(25, 30]"
1189,Masters,2018,New Delhi,3,24,Male,No,2,1,"(20, 25]"
1190,Bachelors,2018,Bangalore,3,25,Male,Yes,3,1,"(20, 25]"
1191,Bachelors,2017,New Delhi,2,25,Male,No,3,0,"(20, 25]"
1192,Bachelors,2014,Pune,3,24,Female,No,2,1,"(20, 25]"
1193,Bachelors,2012,New Delhi,3,26,Female,No,4,0,"(25, 30]"
1194,Bachelors,2014,Pune,3,26,Male,No,4,0,"(25, 30]"
1195,Bachelors,2014,Bangalore,3,28,Male,No,4,0,"(25, 30]"
1196,Bachelors,2018,Bangalore,3,26,Male,Yes,4,1,"(25, 30]"
1197,Bachelors,2013,Pune,2,26,Male,No,4,0,"(25, 30]"
1198,Bachelors,2013,Pune,2,25,Female,No,3,1,"(20, 25]"
1199,Bachelors,2018,Pune,3,25,Male,Yes,3,1,"(20, 25]"
1200,Bachelors,2013,Bangalore,3,25,Female,No,3,0,"(20, 25]"
1201,Bachelors,2014,Bangalore,3,28,Male,No,4,0,"(25, 30]"
1202,Masters,2017,New Delhi,3,24,Female,No,2,0,"(20, 25]"
1203,Masters,2017,Pune,2,27,Female,No,5,0,"(25, 30]"
1204,Bachelors,2012,Bangalore,3,24,Male,No,2,0,"(20, 25]"
1205,Bachelors,2017,Pune,3,27,Female,No,5,1,"(25, 30]"
1206,Masters,2017,New Delhi,2,28,Male,No,4,0,"(25, 30]"
1207,Bachelors,2017,New Delhi,2,25,Male,No,3,0,"(20, 25]"
1208,Bachelors,2017,Pune,3,25,Male,Yes,3,1,"(20, 25]"
1209,Masters,2017,Pune,2,24,Female,No,2,1,"(20, 25]"
1210,Bachelors,2013,Pune,3,27,Male,Yes,5,1,"(25, 30]"
1211,Bachelors,2016,Bangalore,3,26,Female,No,4,1,"(25, 30]"
1212,Bachelors,2015,Pune,2,27,Female,No,5,1,"(25, 30]"
1213,Bachelors,2014,Bangalore,3,27,Male,No,5,1,"(25, 30]"
1214,Bachelors,2012,Bangalore,3,26,Male,No,4,0,"(25, 30]"
1215,Bachelors,2016,Pune,2,27,Female,No,5,1,"(25, 30]"
1216,Masters,2017,Bangalore,2,28,Male,No,2,0,"(25, 30]"
1217,Masters,2017,New Delhi,3,24,Female,No,2,1,"(20, 25]"
1218,Bachelors,2017,Pune,3,24,Male,No,2,0,"(20, 25]"
1219,Bachelors,2018,Bangalore,3,24,Male,No,2,1,"(20, 25]"
